SCH_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,ORIGIN,WEATHER,DAY_WEEK,DAY_OF_MONTH,STATUS,LATE_MINS
850,UA,849,LGA,229,1/3/2004,IAD,0,6,3,ontime,0
700,US,655,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
900,US,858,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1100,US,1059,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1300,US,1256,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1500,US,1500,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1700,US,1658,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1900,US,1857,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1720,RU,1714,EWR,169,1/3/2004,BWI,0,6,3,ontime,0
700,RU,655,EWR,169,1/3/2004,BWI,0,6,3,ontime,0
1030,RU,1026,EWR,169,1/3/2004,BWI,0,6,3,ontime,0
1455,RU,1448,EWR,169,1/3/2004,BWI,0,6,3,ontime,0
1300,CO,1255,EWR,199,1/3/2004,DCA,0,6,3,ontime,0
840,DH,857,EWR,213,1/3/2004,IAD,0,6,3,delayed,17
1710,DH,1705,EWR,213,1/3/2004,IAD,0,6,3,ontime,0
1245,DH,1329,EWR,213,1/3/2004,IAD,0,6,3,delayed,84
2120,DH,2126,EWR,213,1/3/2004,IAD,0,6,3,ontime,6
630,DH,625,EWR,213,1/3/2004,IAD,0,6,3,ontime,0
1725,RU,1722,EWR,213,1/3/2004,IAD,0,6,3,ontime,0
1400,RU,1356,EWR,199,1/3/2004,DCA,0,6,3,ontime,0
700,RU,658,EWR,213,1/3/2004,IAD,0,6,3,ontime,0
930,RU,941,EWR,199,1/3/2004,DCA,0,6,3,ontime,11
1730,RU,1738,EWR,199,1/3/2004,DCA,0,6,3,ontime,8
1600,RU,1556,EWR,199,1/3/2004,DCA,0,6,3,ontime,0
1515,RU,1511,EWR,213,1/3/2004,IAD,0,6,3,ontime,0
700,RU,703,EWR,199,1/3/2004,DCA,0,6,3,ontime,3
1455,OH,1605,JFK,184,1/4/2004,BWI,0,7,4,delayed,150
1640,DH,1644,JFK,213,1/4/2004,DCA,0,7,4,ontime,4
1245,DH,1249,LGA,229,1/4/2004,IAD,0,7,4,ontime,4
1455,DH,1535,LGA,229,1/4/2004,IAD,0,7,4,delayed,80
1715,DH,1837,LGA,229,1/4/2004,IAD,0,7,4,delayed,122
640,DH,640,LGA,229,1/4/2004,IAD,0,7,4,ontime,0
1039,DH,1032,LGA,229,1/4/2004,IAD,0,7,4,ontime,0
840,DH,900,JFK,228,1/4/2004,IAD,0,7,4,ontime,60
1240,DH,1243,JFK,228,1/4/2004,IAD,0,7,4,ontime,3
1455,DH,1504,JFK,228,1/4/2004,IAD,0,7,4,ontime,49
1645,DH,1642,JFK,228,1/4/2004,IAD,0,7,4,ontime,0
1715,DH,1709,JFK,228,1/4/2004,IAD,0,7,4,ontime,0
2120,DH,2120,JFK,228,1/4/2004,IAD,0,7,4,ontime,0
1610,DH,1607,JFK,228,1/4/2004,IAD,0,7,4,ontime,0
2120,DH,2116,LGA,229,1/4/2004,IAD,0,7,4,ontime,0
1455,DL,1500,JFK,213,1/4/2004,DCA,0,7,4,ontime,45
830,DL,828,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1030,DL,1028,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1230,DL,1230,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1430,DL,1432,LGA,214,1/4/2004,DCA,0,7,4,ontime,2
1630,DL,1629,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1830,DL,1832,LGA,214,1/4/2004,DCA,0,7,4,ontime,2
2030,DL,2030,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1530,MQ,1534,JFK,213,1/4/2004,DCA,0,7,4,delayed,4
600,MQ,554,JFK,213,1/4/2004,DCA,0,7,4,ontime,0
730,MQ,745,JFK,213,1/4/2004,DCA,0,7,4,ontime,15
1830,MQ,1858,JFK,213,1/4/2004,DCA,0,7,4,delayed,28
1300,MQ,1257,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1500,MQ,1458,LGA,214,1/4/2004,DCA,0,7,4,delayed,0
1700,MQ,1659,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1900,MQ,1936,LGA,214,1/4/2004,DCA,0,7,4,delayed,36
850,UA,849,LGA,229,1/4/2004,IAD,0,7,4,ontime,0
900,US,858,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1000,US,954,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1100,US,1055,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1200,US,1158,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1300,US,1257,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1400,US,1359,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1500,US,1456,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1600,US,1559,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1700,US,1658,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1800,US,1758,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1900,US,1857,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
2000,US,1957,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
2100,US,2059,LGA,214,1/4/2004,DCA,0,7,4,ontime,0
1455,RU,1615,EWR,169,1/4/2004,BWI,0,7,4,delayed,160
1315,RU,1416,EWR,169,1/4/2004,BWI,0,7,4,delayed,101
1605,RU,2030,EWR,169,1/4/2004,BWI,0,7,4,delayed,425
1030,RU,1235,EWR,169,1/4/2004,BWI,0,7,4,delayed,205
1300,CO,1255,EWR,199,1/4/2004,DCA,0,7,4,ontime,0
1630,CO,1833,EWR,199,1/4/2004,DCA,0,7,4,delayed,203
840,DH,857,EWR,213,1/4/2004,IAD,0,7,4,ontime,17
1710,DH,1917,EWR,213,1/4/2004,IAD,0,7,4,delayed,207
1245,DH,1310,EWR,213,1/4/2004,IAD,0,7,4,delayed,65
2120,DH,2221,EWR,213,1/4/2004,IAD,0,7,4,delayed,101
1430,DH,1600,EWR,213,1/4/2004,IAD,0,7,4,delayed,170
1730,RU,1952,EWR,199,1/4/2004,DCA,0,7,4,delayed,222
930,RU,927,EWR,199,1/4/2004,DCA,0,7,4,ontime,0
900,RU,858,EWR,213,1/4/2004,IAD,0,7,4,ontime,0
1900,RU,2110,EWR,213,1/4/2004,IAD,0,7,4,delayed,210
1400,RU,1356,EWR,199,1/4/2004,DCA,0,7,4,delayed,0
1900,RU,2120,EWR,199,1/4/2004,DCA,0,7,4,delayed,220
1515,RU,1557,EWR,213,1/4/2004,IAD,0,7,4,delayed,42
1455,OH,1610,JFK,184,1/5/2004,BWI,0,1,5,delayed,155
1640,DH,1638,JFK,213,1/5/2004,DCA,0,1,5,delayed,0
1245,DH,1338,LGA,229,1/5/2004,IAD,0,1,5,delayed,93
1455,DH,1606,LGA,229,1/5/2004,IAD,0,1,5,delayed,151
1715,DH,1848,LGA,229,1/5/2004,IAD,0,1,5,delayed,133
640,DH,633,LGA,229,1/5/2004,IAD,0,1,5,delayed,0
1039,DH,1054,LGA,229,1/5/2004,IAD,0,1,5,ontime,15
840,DH,946,JFK,228,1/5/2004,IAD,0,1,5,delayed,106
1240,DH,1312,JFK,228,1/5/2004,IAD,0,1,5,delayed,72
1645,DH,1700,JFK,228,1/5/2004,IAD,0,1,5,ontime,55
1715,DH,1709,JFK,228,1/5/2004,IAD,0,1,5,ontime,0
2120,DH,2200,JFK,228,1/5/2004,IAD,0,1,5,delayed,80
1610,DH,1651,JFK,228,1/5/2004,IAD,0,1,5,delayed,41
2120,DH,2125,LGA,229,1/5/2004,IAD,0,1,5,ontime,5
1455,DL,1459,JFK,213,1/5/2004,DCA,0,1,5,ontime,4
630,DL,630,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
730,DL,734,LGA,214,1/5/2004,DCA,0,1,5,ontime,4
830,DL,830,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
930,DL,932,LGA,214,1/5/2004,DCA,0,1,5,ontime,2
1030,DL,1031,LGA,214,1/5/2004,DCA,0,1,5,ontime,1
1130,DL,1128,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1230,DL,1230,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1330,DL,1329,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1430,DL,1427,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1630,DL,1635,LGA,214,1/5/2004,DCA,0,1,5,ontime,5
1730,DL,1730,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1830,DL,1829,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1930,DL,1955,LGA,214,1/5/2004,DCA,0,1,5,delayed,25
2030,DL,2028,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1530,MQ,1538,JFK,213,1/5/2004,DCA,0,1,5,ontime,8
600,MQ,557,JFK,213,1/5/2004,DCA,0,1,5,ontime,0
700,MQ,656,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
800,MQ,758,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
900,MQ,859,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1100,MQ,1103,LGA,214,1/5/2004,DCA,0,1,5,ontime,3
1300,MQ,1250,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1600,MQ,1627,LGA,214,1/5/2004,DCA,0,1,5,delayed,27
1700,MQ,1702,LGA,214,1/5/2004,DCA,0,1,5,ontime,2
1900,MQ,1949,LGA,214,1/5/2004,DCA,0,1,5,delayed,49
850,UA,848,LGA,229,1/5/2004,IAD,0,1,5,ontime,0
630,US,627,LGA,214,1/5/2004,DCA,0,1,5,delayed,0
700,US,657,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
800,US,757,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
900,US,900,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1000,US,958,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1100,US,1057,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1200,US,1155,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1300,US,1257,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1400,US,1358,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1500,US,1500,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1600,US,1601,LGA,214,1/5/2004,DCA,0,1,5,ontime,1
1700,US,1657,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1800,US,1757,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
1900,US,1857,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
2000,US,1959,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
2100,US,2100,LGA,214,1/5/2004,DCA,0,1,5,ontime,0
700,RU,744,EWR,169,1/5/2004,BWI,0,1,5,delayed,44
1455,RU,1527,EWR,169,1/5/2004,BWI,0,1,5,delayed,72
1030,RU,1221,EWR,169,1/5/2004,BWI,0,1,5,delayed,191
1300,CO,1324,EWR,199,1/5/2004,DCA,0,1,5,delayed,24
759,CO,757,EWR,199,1/5/2004,DCA,0,1,5,ontime,0
1730,CO,1846,EWR,199,1/5/2004,DCA,0,1,5,delayed,116
840,DH,844,EWR,213,1/5/2004,IAD,0,1,5,ontime,4
1710,DH,1920,EWR,213,1/5/2004,IAD,0,1,5,delayed,210
1245,DH,1357,EWR,213,1/5/2004,IAD,0,1,5,delayed,112
2120,DH,2312,EWR,213,1/5/2004,IAD,0,1,5,delayed,192
1430,DH,1536,EWR,213,1/5/2004,IAD,0,1,5,delayed,106
630,DH,624,EWR,213,1/5/2004,IAD,0,1,5,ontime,0
700,RU,700,EWR,199,1/5/2004,DCA,0,1,5,ontime,0
900,RU,1056,EWR,199,1/5/2004,DCA,0,1,5,delayed,156
1300,RU,1321,EWR,213,1/5/2004,IAD,0,1,5,delayed,21
2100,RU,2105,EWR,199,1/5/2004,DCA,0,1,5,ontime,5
700,RU,655,EWR,213,1/5/2004,IAD,0,1,5,ontime,0
1400,RU,1454,EWR,199,1/5/2004,DCA,0,1,5,delayed,54
1900,RU,2104,EWR,199,1/5/2004,DCA,0,1,5,delayed,204
1515,RU,1602,EWR,213,1/5/2004,IAD,0,1,5,delayed,87
900,RU,855,EWR,213,1/5/2004,IAD,0,1,5,ontime,0
1525,RU,1617,EWR,199,1/5/2004,DCA,0,1,5,delayed,92
1455,OH,1455,JFK,184,1/6/2004,BWI,0,2,6,ontime,0
1245,DH,1240,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
1455,DH,1451,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
1715,DH,1752,LGA,229,1/6/2004,IAD,0,2,6,ontime,37
640,DH,635,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
1039,DH,1034,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
840,DH,855,JFK,228,1/6/2004,IAD,0,2,6,ontime,15
1240,DH,1237,JFK,228,1/6/2004,IAD,0,2,6,ontime,0
1455,DH,1453,JFK,228,1/6/2004,IAD,0,2,6,ontime,0
1645,DH,1641,JFK,228,1/6/2004,IAD,0,2,6,ontime,0
1715,DH,1756,JFK,228,1/6/2004,IAD,0,2,6,delayed,41
2120,DH,2153,JFK,228,1/6/2004,IAD,0,2,6,delayed,33
1610,DH,1607,JFK,228,1/6/2004,IAD,0,2,6,ontime,0
2120,DH,2118,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
1455,DL,1457,JFK,213,1/6/2004,DCA,0,2,6,ontime,2
630,DL,629,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
730,DL,728,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
830,DL,829,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
930,DL,930,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1030,DL,1030,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1130,DL,1130,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1230,DL,1230,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1330,DL,1327,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1430,DL,1428,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1530,DL,1529,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1630,DL,1629,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1730,DL,1728,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1830,DL,1830,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1930,DL,1929,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
2030,DL,2031,LGA,214,1/6/2004,DCA,0,2,6,ontime,1
1530,MQ,1548,JFK,213,1/6/2004,DCA,0,2,6,ontime,18
600,MQ,558,JFK,213,1/6/2004,DCA,0,2,6,ontime,0
1830,MQ,1843,JFK,213,1/6/2004,DCA,0,2,6,ontime,13
700,MQ,655,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
800,MQ,817,LGA,214,1/6/2004,DCA,0,2,6,ontime,17
900,MQ,852,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1100,MQ,1100,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1300,MQ,1313,LGA,214,1/6/2004,DCA,0,2,6,ontime,13
1400,MQ,1355,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1500,MQ,1535,LGA,214,1/6/2004,DCA,0,2,6,delayed,35
1600,MQ,1555,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1700,MQ,1654,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1900,MQ,1904,LGA,214,1/6/2004,DCA,0,2,6,ontime,4
850,UA,850,LGA,229,1/6/2004,IAD,0,2,6,ontime,0
630,US,629,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
700,US,657,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
800,US,758,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
900,US,858,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1000,US,1000,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1100,US,1056,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1200,US,1158,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1300,US,1259,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1400,US,1357,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1500,US,1458,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1600,US,1557,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1700,US,1657,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1800,US,1758,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
1900,US,1855,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
2000,US,1958,LGA,214,1/6/2004,DCA,0,2,6,ontime,0
2100,US,2104,LGA,214,1/6/2004,DCA,0,2,6,ontime,4
1455,RU,1451,EWR,169,1/6/2004,BWI,0,2,6,ontime,0
1720,RU,1729,EWR,169,1/6/2004,BWI,0,2,6,delayed,9
700,RU,658,EWR,169,1/6/2004,BWI,0,2,6,ontime,0
1030,RU,1037,EWR,169,1/6/2004,BWI,0,2,6,ontime,7
