Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
DY22043,Oregon,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal L3,Branch,326.4,Two-Door Car,Small
SH36774,California,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal L3,Web,921.6,Luxury SUV,Medsize
EM43724,Nevada,Basic,Bachelor,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal L3,Agent,101.89645,Four-Door Car,Medsize
FH85960,Oregon,Premium,College,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal L2,Call Center,542.4,Four-Door Car,Medsize
XA55993,Oregon,Extended,Master,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal L3,Branch,143.747794,Four-Door Car,Medsize
QH48047,Oregon,Basic,College,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal L2,Web,316.8,Four-Door Car,Medsize
RB50392,Washington,Basic,Master,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal L1,Agent,2.704934,Four-Door Car,Medsize
UH65059,Arizona,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal L3,Agent,523.2,Sports Car,Medsize
QA87025,Oregon,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal L3,Call Center,192.87572,Four-Door Car,Medsize
TQ13499,Arizona,Premium,College,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal L3,Agent,828.662719,Four-Door Car,Small
MS41162,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal L3,Agent,975.107098,SUV,Medsize
RB81636,Washington,Basic,College,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal L2,Agent,606.642452,Four-Door Car,Small
SX26335,Oregon,Extended,College,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal L3,Branch,289.9122,Four-Door Car,Medsize
DS81757,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal L1,Web,721.242206,Two-Door Car,Large
OJ94107,Arizona,Premium,Master,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal L2,Call Center,456.52385,SUV,Medsize
LP84436,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal L2,Branch,1087.995426,Sports Car,Medsize
LM19287,Oregon,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal L1,Agent,460.8,Four-Door Car,Large
YC43143,Arizona,Extended,High School or Below,Employed,F,77330,Rural,Married,99,0,21,0,3,Personal L3,Web,99.257608,Four-Door Car,Medsize
GD83998,Washington,Basic,Bachelor,Employed,M,24495,Suburban,Single,70,29,65,0,1,Personal L2,Branch,336,Four-Door Car,Small
WA25797,Washington,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal L3,Agent,178.006524,Sports Car,Medsize
PD27940,Arizona,Extended,High School or Below,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Personal L3,Agent,604.8,SUV,Medsize
BS77946,Arizona,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Personal L1,Branch,8.312729,SUV,Medsize
YM50253,California,Basic,Bachelor,Employed,F,89270,Urban,Single,74,17,90,0,1,Personal L3,Branch,316.599228,Four-Door Car,Medsize
NR15332,California,Basic,High School or Below,Employed,M,29757,Suburban,Married,65,13,55,0,1,Personal L2,Web,312,Four-Door Car,Small
RC62865,Oregon,Extended,College,Employed,M,51814,Rural,Single,92,28,89,0,1,Personal L2,Agent,56.300724,Four-Door Car,Medsize
CC15295,Oregon,Extended,Bachelor,Employed,F,24028,Suburban,Married,82,14,27,0,2,Personal L2,Agent,393.6,Four-Door Car,Small
KA61892,Arizona,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal L3,Agent,701.708239,Sports Car,Medsize
OS94884,Arizona,Basic,Bachelor,Employed,F,52705,Rural,Married,64,14,8,1,2,Personal L2,Web,128.705563,Two-Door Car,Large
ML93326,Washington,Basic,College,Employed,F,84903,Urban,Married,111,7,63,0,1,Personal L1,Agent,497.126827,SUV,Medsize
YL74911,California,Basic,College,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal L3,Agent,566.4,SUV,Medsize
JP69864,Washington,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,7,63,1,1,Personal L1,Branch,347.857619,Four-Door Car,Medsize
HL53154,California,Extended,Bachelor,Unemployed,M,0,Suburban,Single,77,15,12,2,2,Personal L3,Agent,554.4,Four-Door Car,Medsize
RI78966,Oregon,Basic,Master,Medical Leave,M,21876,Suburban,Married,68,12,28,0,2,Personal L3,Agent,465.41477,Four-Door Car,Small
IC13702,California,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,33,61,1,2,Personal L3,Agent,496.8,Four-Door Car,Small
BE10809,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal L1,Agent,292.8,Four-Door Car,Small
HT87217,Oregon,Extended,High School or Below,Employed,F,70699,Urban,Divorced,82,1,57,0,2,Personal L2,Agent,256.813837,Four-Door Car,Medsize
TH95618,California,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,11,85,1,2,Personal L2,Agent,355.2,Four-Door Car,Medsize
TS19868,California,Basic,College,Medical Leave,M,27501,Suburban,Married,63,20,0,0,1,Personal L1,Branch,542.319401,Four-Door Car,Medsize
LP45550,Oregon,Premium,Doctor,Disabled,F,15897,Urban,Divorced,101,30,99,0,2,Personal L3,Agent,303.148399,Four-Door Car,Medsize
QR87004,Nevada,Basic,College,Employed,F,25141,Rural,Divorced,73,12,4,1,2,Personal L3,Agent,25.438063,Four-Door Car,Medsize
OE75747,Nevada,Basic,College,Unemployed,F,0,Suburban,Married,61,5,46,3,1,Personal L2,Agent,292.8,Four-Door Car,Small
DX91392,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal L2,Call Center,787.993313,Four-Door Car,Medsize
AB72731,California,Basic,Bachelor,Employed,F,28358,Rural,Married,117,24,37,0,1,Personal L2,Call Center,84.024413,Sports Car,Medsize
RU49126,Washington,Basic,College,Employed,F,61846,Rural,Married,112,1,48,0,1,Personal L2,Agent,215.8182,SUV,Medsize
IS12901,Arizona,Basic,Bachelor,Employed,F,90972,Urban,Married,74,3,47,0,8,Personal L3,Call Center,232.926145,Two-Door Car,Medsize
IX37561,Washington,Basic,College,Unemployed,F,0,Suburban,Single,74,3,95,0,7,Personal L3,Web,532.8,Two-Door Car,Medsize
HH90090,California,Basic,Bachelor,Employed,F,29549,Suburban,Divorced,104,17,51,0,1,Personal L2,Call Center,710.433775,Sports Car,Small
IU25463,California,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,12,17,1,2,Personal L2,Agent,552,Four-Door Car,Medsize
KC11055,Nevada,Extended,Bachelor,Employed,F,39411,Suburban,Married,217,4,29,2,4,Personal L3,Branch,1122.658899,Luxury Car,Medsize
PD33979,Oregon,Basic,High School or Below,Employed,M,21709,Suburban,Married,62,28,17,0,3,Personal L2,Branch,408.374746,Four-Door Car,Large
NK71023,Nevada,Extended,Bachelor,Employed,M,67890,Suburban,Single,85,23,57,0,2,Personal L2,Agent,408,Four-Door Car,Small
AB13432,California,Basic,Bachelor,Unemployed,M,0,Suburban,Single,110,3,16,0,1,Personal L3,Agent,792,SUV,Medsize
OZ97704,California,Basic,High School or Below,Employed,F,84311,Suburban,Single,111,11,98,4,2,Personal L3,Call Center,532.8,SUV,Small
XP47431,Arizona,Extended,Bachelor,Employed,F,54507,Suburban,Married,138,20,11,0,1,Personal L1,Agent,702.990032,SUV,Medsize
GK73582,California,Extended,Bachelor,Employed,F,64586,Urban,Single,76,3,17,0,1,Personal L1,Branch,206.837111,Four-Door Car,Medsize
RV98763,Oregon,Extended,College,Employed,M,61709,Urban,Married,82,5,41,2,7,Personal L3,Branch,275.395894,Four-Door Car,Medsize
TR85083,California,Basic,Bachelor,Employed,M,61085,Suburban,Married,70,27,34,1,1,Personal L3,Branch,336,Two-Door Car,Medsize
EO95328,Oregon,Basic,Bachelor,Employed,F,89284,Suburban,Married,67,7,31,3,2,Personal L2,Agent,321.6,Two-Door Car,Small
EN21086,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,63,6,12,0,2,Personal L2,Branch,302.4,Four-Door Car,Small
YL83902,Washington,Extended,Bachelor,Employed,F,31686,Suburban,Married,81,11,33,0,1,Personal L3,Agent,430.994107,Four-Door Car,Small
EH41854,Washington,Extended,High School or Below,Unemployed,F,0,Suburban,Single,96,12,35,1,2,Personal L1,Branch,844.481918,Two-Door Car,Medsize
MW70227,California,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal L1,Branch,364.8,Four-Door Car,Medsize
SL22297,California,Premium,Master,Disabled,F,27679,Suburban,Single,150,30,28,0,3,Personal L1,Call Center,722.486994,SUV,Medsize
RV14138,Nevada,Extended,Bachelor,Retired,F,23904,Suburban,Single,123,1,67,3,1,Personal L3,Agent,590.4,SUV,Medsize
ZX64745,California,Basic,College,Unemployed,M,0,Suburban,Single,113,20,1,0,7,Personal L2,Agent,1124.427734,SUV,Medsize
FL34139,California,Basic,High School or Below,Unemployed,M,0,Suburban,Single,63,0,54,3,7,Personal L2,Call Center,669.682001,Four-Door Car,Medsize
TS11219,California,Basic,College,Unemployed,M,0,Suburban,Single,116,14,35,0,2,Personal L2,Agent,1284.093173,SUV,Medsize
XX12304,California,Basic,College,Employed,F,64459,Urban,Married,72,16,64,0,1,Personal L1,Branch,240.259479,Four-Door Car,Medsize
BG76355,Washington,Extended,Bachelor,Employed,F,68964,Rural,Married,78,15,6,0,3,Personal L3,Web,115.086827,Four-Door Car,Medsize
IP66913,California,Extended,High School or Below,Employed,M,78108,Suburban,Single,98,12,34,0,1,Personal L3,Agent,470.4,Two-Door Car,Small
XN16891,Arizona,Basic,College,Employed,M,81097,Suburban,Divorced,74,7,67,0,1,Personal L1,Agent,355.2,Four-Door Car,Small
KY33386,Washington,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal L3,Web,537.6,Sports Car,Medsize
CO44221,California,Basic,College,Employed,M,98473,Suburban,Married,72,19,69,0,1,Personal L1,Branch,345.6,Four-Door Car,Medsize
LK60013,Oregon,Basic,Bachelor,Employed,F,97431,Suburban,Married,74,1,72,0,3,Personal L2,Branch,355.2,Four-Door Car,Medsize
DE21533,California,Basic,Bachelor,Employed,M,93870,Suburban,Divorced,69,1,96,0,8,Personal L2,Call Center,331.2,Four-Door Car,Medsize
YS94121,Nevada,Basic,High School or Below,Employed,M,50366,Suburban,Divorced,72,9,5,0,9,Personal L1,Call Center,428.734656,Four-Door Car,Small
UK68427,Washington,Extended,High School or Below,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal L3,Branch,398.4,Two-Door Car,Small
TE49565,Oregon,Basic,College,Disabled,F,16552,Suburban,Married,103,23,53,0,2,Personal L3,Call Center,494.4,SUV,Small
RA88421,Oregon,Extended,College,Employed,F,26787,Suburban,Married,77,7,50,0,5,Personal L3,Branch,369.6,Four-Door Car,Medsize
KQ51983,Nevada,Basic,College,Unemployed,M,0,Suburban,Single,74,2,42,0,9,Personal L1,Branch,831.752839,Two-Door Car,Medsize
RI24911,Arizona,Basic,College,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal L3,Agent,231.201886,Two-Door Car,Medsize
KO26461,Arizona,Extended,High School or Below,Employed,M,41520,Urban,Married,90,18,70,0,2,Personal L2,Agent,289.904105,Four-Door Car,Medsize
HI14283,Oregon,Premium,Bachelor,Unemployed,F,0,Suburban,Married,152,12,89,0,1,Personal L3,Web,729.6,SUV,Small
PT50227,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Married,68,19,16,0,8,Personal L3,Call Center,326.4,Two-Door Car,Medsize
BH36570,California,Basic,Bachelor,Employed,M,72208,Suburban,Married,73,3,84,0,8,Personal L3,Branch,350.4,Two-Door Car,Small
TX17484,California,Basic,Bachelor,Employed,F,53863,Rural,Married,63,12,30,0,2,Personal L2,Web,105.765111,Four-Door Car,Large
AO87348,Washington,Basic,College,Unemployed,M,0,Suburban,Single,61,18,26,0,1,Personal L3,Agent,292.8,Four-Door Car,Small
DE55857,Washington,Basic,Bachelor,Employed,F,64997,Suburban,Single,63,7,99,1,1,Personal L3,Agent,383.442328,Four-Door Car,Small
CN24514,Arizona,Basic,College,Employed,F,46618,Rural,Married,67,22,77,0,2,Personal L1,Agent,99.085943,Four-Door Car,Large
HP36979,California,Extended,College,Employed,M,49988,Suburban,Married,84,6,37,5,5,Personal L2,Web,566.935022,Two-Door Car,Large
PP40919,California,Extended,College,Unemployed,F,0,Suburban,Single,91,2,8,5,1,Personal L1,Agent,436.8,Two-Door Car,Medsize
HO61691,Arizona,Basic,Bachelor,Employed,F,72006,Suburban,Divorced,64,4,38,0,3,Personal L1,Agent,307.2,Four-Door Car,Medsize
BS13062,Arizona,Extended,High School or Below,Unemployed,F,0,Suburban,Married,81,3,60,2,2,Personal L2,Call Center,388.8,Four-Door Car,Small
HR10526,California,Basic,Master,Employed,M,44320,Suburban,Married,67,13,79,0,2,Personal L2,Call Center,321.6,Four-Door Car,Medsize
IA63417,Arizona,Premium,High School or Below,Retired,F,19782,Suburban,Divorced,108,13,66,0,1,Personal L3,Web,773.470977,Two-Door Car,Medsize
BH35016,Nevada,Basic,Bachelor,Employed,F,63933,Suburban,Divorced,70,35,98,0,2,Personal L3,Call Center,424.883448,Two-Door Car,Medsize
PK52952,Arizona,Basic,Doctor,Employed,M,28224,Suburban,Single,109,13,13,0,8,Personal L3,Call Center,523.2,SUV,Medsize
OD76309,Washington,Basic,College,Retired,F,21073,Suburban,Divorced,106,25,54,1,3,Personal L3,Agent,508.8,SUV,Small
IL28481,Oregon,Extended,Bachelor,Employed,M,63243,Urban,Married,77,21,73,0,3,Personal L3,Call Center,364.240307,Four-Door Car,Large
GY55092,Nevada,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal L3,Agent,638.4,SUV,Medsize
UF33451,Oregon,Extended,Bachelor,Employed,F,94827,Urban,Married,135,5,64,0,4,Personal L3,Agent,354.729129,SUV,Medsize
CF15558,California,Basic,Master,Employed,F,39161,Urban,Married,63,18,83,1,4,Personal L3,Call Center,283.995953,Two-Door Car,Small
JM62924,Washington,Extended,Bachelor,Employed,M,37534,Suburban,Married,84,2,0,2,2,Personal L3,Branch,403.2,Four-Door Car,Medsize
QX45933,California,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,32,59,0,2,Personal L1,Agent,385.115437,Four-Door Car,Small
JI71369,California,Basic,College,Employed,F,30110,Rural,Married,64,2,4,0,5,Personal L1,Web,140.165035,Four-Door Car,Medsize
JU93290,Arizona,Basic,College,Medical Leave,F,21708,Suburban,Divorced,68,28,77,0,2,Personal L2,Web,326.4,Four-Door Car,Medsize
